Water Consumption (kL),Q1 12/13,Q2 12/13,Q3 12/13,Q4 12/13,Q1 13/14,Q2 13/14,Q3 13/14,Q4 13/14,Q1 14/15,Q2 14/15,Q3 14/15,Q4 14/15,Q1 15/16,Q2 15/16,Q3 15/16,Q4 15/16,Q1 16/17,Q2 16/17,Q3 16/17,Q4 16/17,Q1 17/18,Q2 17/18,Q3 17/18,Q4 17/18,Q1 18/19,Q2 18/19,Q3 18/19,Q4 18/19,Q1 19/20,Q2 19/20,Q3 19/20,Q4 19/20,Q1 20/21,Q2 20/21,Q3 20/21,Q4 20/21,Q1 21/22,Q2 21/22,Q3 21/22,Q4 21/22,Q1 22/23,Q2 22/23,Q3 22/23,Q4 22/23,Q1 23/24,Q2 23/24,Q3 23/24,Q4 23/24,Q1 24/25,Q2 24/25
Total Consumption,8576576,12894871,14283914,10456638,11696992,13049385,13882476,9720012,10278904,12832238,12231602,15439046,12579596,12326163,9568583,8652559,7894963,7248611,7520905,6022136,6727512,7044626,6807978,7971159,8953842,9735472,10644961,8025942,9415466,11574156,13784137,9140676,10061677,11213398,10725254,8351314,10293170,11071751,10092706,9668659,8792699,9608073,9291693,7503331,9781591,11471193,9501373,8676927,9571165,10946561
Total Water Connections,,,,,,,,,,,,,,,,,,,,,73101,73321,73408,73418,73660,73814,73851,74067,73813,74291,74357,74506,74656,74900,75104,75491,75702,70517,67807,76393,76468,76509,76573,76887,76730,77170,77311,77611,77868,78098
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariff Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,5363376,7731414,9533383,6472801,7253629,8716405,9297039,6057457,6604932,8492613,9263149,8856072,8252873,8316076,7111777,5787001,5308844,4723173,5300565,4063986,4870613,4687132,4664119,5272718,6077514,6525987,7446244,5384578,6392745,8016727,9862600,5966421,7101985,7527542,7989508,5591523,6965540,7430272,7322083,6634688,6112070,6669595,6510784,5109039,6563532,8008387,6743836,6015062,6761376,7644967
Commercial and Industrial,1841367,2783796,2757540,2462309,2473656,2380858,2712743,2211961,1930994,2280145,2270156,2986964,2425392,2303400,1689210,1935401,1685381,1668092,1568002,1367286,1223948,1611681,1333655,1778792,1560275,1781410,1753048,1467884,1587701,1814209,1857258,1695850,1426859,1877708,1489598,1758712,1804818,1740790,1492997,1688305,1455451,1434537,1815878,1375382,1598218,1805859,1609003,1790663,1621766,1659326
TCC Irrigation (Parks),883273,1524175,1248052,931619,1257131,1382247,1144912,751889,1243660,1319057,103438,2572661,1193830,1092071,351974,378764,550284,494934,357563,189482,341550,392328,374082,435292,784833,900662,937736,687997,886294,1105744,1468146,937536,1064950,1112579,784980,398768,906051,1315179,740508,774602,673176,941367,497717,385100,847877,989390,680495,370491,727180,890671
Schools,277790,548477,445588,377412,446380,331308,415058,397200,278172,453805,345565,638359,425322,317323,192775,296378,187985,194916,143115,230665,162356,211358,282551,296892,351160,352947,319239,325137,364659,437366,376556,359532,304927,471412,285320,412868,435200,389651,347197,374647,373737,392288,265759,359781,340464,443107,292024,360963,321084,370987
TCC Facilities and Sites,99515,139967,151459,102896,135496,109400,161508,157933,117915,131652,115497,208011,146168,173289,145786,147974,87745,85569,82042,93027,79627,86606,92928,120270,118200,110191,113780,104007,119545,125418,146401,109070,98104,126013,103962,114399,115071,122790,117138,127807,110885,99777,132026,218055,392700,172184,136915,101177,104100,333231
Churches,110620,163767,145722,108305,128747,124964,144374,141563,101454,152476,131918,174648,134370,121711,75029,105701,71458,79697,66797,74677,47061,54930,60643,66077,59391,62118,72720,53980,61850,71310,70498,70777,59145,96068,70066,73612,64661,71672,71486,66854,65199,67890,64228,53792,36990,49062,37458,37105,33421,44481
Other,635,3275,2170,1296,1953,4203,6842,2009,1777,2490,1879,2331,1641,2293,2032,1340,3266,2230,2821,3013,2357,591,0,1118,2469,2157,2194,2359,2672,3382,2678,1490,5707,2076,1820,1432,1829,1397,1297,1756,2181,2619,5301,2182,1810,3204,1642,1466,2238,2898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During Quarter 2 2021/2022 Council was unable to undertake readings for 5,338 water meters across a range of tariff categories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
During Quarter 3 2021/2022 Council was unable to undertake readings for a number of water meters across a range of tariff categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
